bill_type_bill_name_bill_ID	missing_votes	 Arlen Specter (PA)	 Barack H. Obama (IL)	 Barbara A. Mikulski (MD)	 Barbara Boxer (CA)	 Bill Nelson (FL)	 Blanche L. Lincoln (AR)	 Byron L. Dorgan (ND)	 C. Saxby Chambliss (GA)	 Carl Levin (MI)	 Charles E. 'Chuck' Grassley (IA)	 Charles E. 'Chuck' Schumer (NY)	 Charles T. 'Chuck' Hagel (NE)	 Christopher J. Dodd (CT)	 Christopher S. 'Kit' Bond (MO)	 Conrad R. Burns (MT)	 Craig Thomas (WY)	 Daniel K. Inouye (HI)	 Daniel Kahikina Akaka (HI)	 David B. Vitter (LA)	 Debbie Ann Stabenow (MI)	 Dianne Feinstein (CA)	 E. Benjamin 'Ben' Nelson (NE)	 Edward M. 'Ted' Kennedy (MA)	 Elizabeth H. Dole (NC)	 Evan Bayh (IN)	 Frank R. Lautenberg (NJ)	 George Felix Allen (VA)	 George V. Voinovich (OH)	 Gordon Harold Smith (OR)	 Harry M. Reid (NV)	 Herbert H. 'Herb' Kohl (WI)	 Hillary Rodham Clinton (NY)	 James M. 'Jim' Inhofe (OK)	 James M. 'Jim' Talent (MO)	 James Merrill 'Jim' Jeffords (VT)	 Jeff Bingaman (NM)	 Jefferson B. 'Jeff' Sessions III (AL)	 Jim Bunning (KY)	 Jim W. DeMint (SC)	 John Cornyn (TX)	 John D. 'Jay' Rockefeller IV (WV)	 John E. Sununu (NH)	 John Eric Ensign (NV)	 John F. 'Jack' Reed (RI)	 John Forbes Kerry (MA)	 John H. 'Johnny' Isakson (GA)	 John R. Thune (SD)	 John S. McCain (AZ)	 John W. Warner (VA)	 Jon Kyl (AZ)	 Joseph I. Lieberman (CT)	 Joseph R. Biden Jr. (DE)	 Judd A. Gregg (NH)	 Kay Bailey Hutchison (TX)	 Ken Salazar (CO)	 Kent Conrad (ND)	 Lamar Alexander (TN)	 Larry E. Craig (ID)	 Lincoln D. Chafee (RI)	 Lindsey O. Graham (SC)	 Lisa A. Murkowski (AK)	 Maria Cantwell (WA)	 Mark Dayton (MN)	 Mark Pryor (AR)	 Mary L. Landrieu (LA)	 Max S. Baucus (MT)	 Mel Martinez (FL)	 Michael B. Enzi (WY)	 Michael D. 'Mike' Crapo (ID)	 Michael 'Mike' DeWine (OH)	 Mitch McConnell (KY)	 Norm Coleman (MN)	 Olympia J. Snowe (ME)	 Orrin G. Hatch (UT)	 Pat Roberts (KS)	 Patrick J. Leahy (VT)	 Patty Murray (WA)	 Paul S. Sarbanes (MD)	 Pete V. Domenici (NM)	 Richard C. Shelby (AL)	 Richard G. Lugar (IN)	 Richard J. 'Dick' Durbin (IL)	 Richard J. 'Rick' Santorum (PA)	 Richard M. Burr (NC)	 Robert C. Byrd (WV)	 Robert F. Bennett (UT)	 Robert Menendez (NJ)	 Ron Wyden (OR)	 Russell D. Feingold (WI)	 Samuel D. 'Sam' Brownback (KS)	 Susan M. Collins (ME)	 Ted Stevens (AK)	 Thad Cochran (MS)	 Thomas Allen 'Tom' Coburn (OK)	 Thomas Richard Carper (DE)	 Thomas 'Tom' Harkin (IA)	 Tim P. Johnson (SD)	 Trent Lott (MS)	 Wayne A. Allard (CO)	 William H. 'Bill' Frist (TN)
Defense_National Commission on Detainees Amendment_3684	2	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Defense_Status of Detainees Substitute Amendment_3712	2	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	0	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	-1	1	1	-1	1	0	1	-1	1	1	1	1	1	1	-1	1	1	1	1
"Executive Branch_Janice R Brown, US Circuit Court_3532"	2	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	0	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	1	1	1	1	-1	-1	-1	1	1	1
Executive Branch_Motion to invoke cloture on Priscilla R. Owen_3524	2	1	1	1	-1	1	-1	-1	1	-1	1	1	1	-1	1	1	1	0	1	1	-1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	0	1	-1	1	1	1	1	1	1	1	1	1	1	1
Foreign Aid and Policy Issues_Iraq Progress Reports Amendment_3714	2	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	1	-1	1	1	1	1	1	-1	0	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	-1	1	0	1	1	1	1	1	1	-1	1	-1	1	1	1	1
Foreign Aid and Policy Issues_Reporting Matters in Iraq Amendment_3695	2	-1	1	1	1	-1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	0	-1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Immigration_Employer Verification Amendment_3826	2	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	1	1	-1	1	1	1	-1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	0	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	-1	-1	-1
Immigration_Employment-based Immigrant Visa Amendment_3833	2	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	1	-1	1	-1	-1	1	1	1	-1	0	-1	1	1	-1	-1	1	1	1	1	0	1	1	-1	-1	1	1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	1	1	1
Immigration_Immigration Reform Bill_3838	2	1	1	1	1	1	1	-1	-1	1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	1	1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	1	1	-1	1	1	1	-1	0	1	-1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	-1	-1	1
Immigration_Orange Card Program Amendment_3825	2	-1	1	1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1
Labor_Increasing Minimum Wage Amendment_3854	2	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	0	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	0	1	-1	1	-1	-1	1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1
Labor_Minimum Wage Adjustment Amendment_3853	2	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	0	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
National Security Issues_FEMA Amendment_3870	2	-1	1	1	1	1	1	1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	-1	1	-1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	0	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
National Security Issues_National Security Amendment_3894	2	-1	1	1	1	-1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	0	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	0	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1
National Security Issues_Security of Cargo Containers Amendment_3896	2	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	0	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	0	-1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
National Security Issues_USA PATRIOT and Terrorism Prevention Reauthorization_3722	2	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	0	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	1	1	1	1	-1	-1	1	1	1	-1
National Security Issues_USEMA Amendment_3869	2	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	-1	1	-1	1	1	-1	1	1	1	1	0	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Senior and Social Security Issues_Medicare Prescription Drug Benefit Amendment_3693	2	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	0	-1	-1
Senior and Social Security Issues_Prescription Drugs Amendment_3497	2	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	0	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	1	1	-1	-1	-1	1	1	1	-1	-1	-1
Trade Issues_CAFTA Implementation Bill_3572	2	-1	-1	-1	-1	1	1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	1	-1	1	1	-1	-1	1	-1	1	1	1	0	-1	1	1	-1	-1	1	-1	1	-1	1	1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	1	1	-1	1	-1	1	-1	1	-1	1	1	-1	1	0	1	-1	1	-1	1	1	1	1	-1	-1	1	1	1
Veterans Issues_Additional Funding For Veterans Amendment_3692	2	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	0	-1	-1
Appropriations_After School Funding Amendment_3655	3	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	0	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Appropriations_Air Cargo Security Programs Implementation Amendment_3570	3	-1	1	0	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	0	-1	-1
Appropriations_Increase the Number of Detention Beds Amendment_3564	3	-1	-1	0	1	-1	-1	-1	1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	-1	1	1	-1	1	0	-1	-1	1	-1	-1	-1	1	-1	-1	-1	0	1	1
"Appropriations_Labor, HHS, Education, FY 2006 Appropriations bill_3674"	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	0	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
"Budget, Spending and Taxes_Natural Resources and Environment Funding Amendment_3811"	3	-1	1	1	1	1	1	1	-1	0	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	-1	0	1	-1	-1	1	1	1	0	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
"Budget, Spending and Taxes_Tax Reconciliation Bill_3718"	3	1	-1	-1	-1	1	1	-1	1	-1	1	1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	1	-1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	0	1	-1	1	-1	-1	1	0	-1	-1	1	1	1	1	1	1	-1	1	0	1	1
"Budget, Spending and Taxes_Tax Reconciliation bill_3795"	3	1	-1	-1	-1	1	1	-1	1	-1	1	1	1	-1	1	1	0	-1	-1	1	1	1	1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	0	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	0	1	1	-1	1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	1	1	1	1
Business and Consumers_Corporate Financing of Terrorism Amendment_3584	3	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	1	-1	1	1	-1	-1	-1	-1	0	-1	1	1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	0	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Congressional Affairs_Investigating Contracts in Iraq Amendment_3689	3	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	0	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	0	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Congressional Affairs_Special Committee on Contracts in Afghanistan and Iraq_3616	3	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	0	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	0	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Defense_National Defense Authorization Act - Cloture_3583	3	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	0	1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	0	1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	1
Energy Issues_Environmental Effects Caused by Ethanol Amendment_3539	3	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	1	0	1	-1	1	1	-1	1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	1	1	-1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	1	0	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	-1	1	1	1	-1	1	1	1	1	1
Energy Issues_Low-Income Home Energy Assistance Program Amendment_3660	3	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	1	1	1	1	1	-1	1	1	1	0	-1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	0	1	1	1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	-1	1	1	1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1
Environmental Issues_EPA's Clean Air Mercury Rule_3610	3	-1	1	1	1	1	1	-1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	0	1	-1	1	1	-1	-1	1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	-1	-1	-1	-1	-1	1	1	0	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
"Executive Branch_Condoleezza Rice, Secretary of State_3447"	3	1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	0	1	1	-1	1	1	1	1	-1	1	-1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	0	1	1	1	1	1	1	1	1	-1	1	1	1	1
"Executive Branch_First cloture motion on John Bolton, Ambassador to UN_3528"	3	0	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	0	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	1	1	1	1	-1	-1	-1	1	1	-1
"Executive Branch_Michael Chertoff, Secretary of Homeland Security_3462"	3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
"Executive Branch_Priscilla R. Owen, US Circuit Judge_3527"	3	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	0	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	0	-1	-1	1	1	0	1	1	-1	-1	-1	1	1	1
"Executive Branch_William H. Pryor, Jr., US Circuit Judge_3534"	3	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	0	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	-1	-1	-1	1	1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	-1	1	1	1	-1	-1	-1	1	1	1
Immigration_Confidentiality Requirement Amendment_3836	3	-1	-1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	0	1	1	-1	-1	1	1	-1	1	1	-1	-1	1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	0	0	1	-1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	1	1	1
Immigration_English As National Language Amendment_3834	3	1	-1	-1	-1	1	1	1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	0	1	1	0	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	1	1	1	1	1	1	-1	-1	1	1	1	0	1	1	1	1	1	1	1	1	-1	-1	-1	-1	1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1
Immigration_English as Unifying Language Amendment_3852	3	1	1	1	1	1	1	1	-1	1	-1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	0	-1	-1	0	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	1	1	-1	-1	1	1	1	1	1	1	1	1	0	-1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	-1	-1
Immigration_H-2C Visa Program Ammendment_3835	3	-1	1	-1	1	1	-1	1	1	1	1	1	-1	1	1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	0	1	1	1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	1	1	0	1	-1
Immigration_Triple-Layered Fencing Amendment_3887	3	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1
